caseid,weight,F1,F2,F3,F4,F5,F6,Economic Mobility 1,Economic Mobility 2,Economic Mobility 3,Economic Mobility 4,Economic Mobility 5,Economic Mobility 6,Economic Mobility 7,Education 1,Education 2,Education 3,Education 4,Education 5,Education 6,Education 7,Education 8,Education 9,Healthcare 1,Healthcare 2,Healthcare 3,Healthcare 4,Healthcare 5,Healthcare 6,Healthcare 7,,Energy 1,Energy 2,Energy 3,Energy 4,Energy 5,Fed Spending & Debt,Taxes 1,Taxes 2,Taxes 3,Taxes 4,Taxes 5,Taxes 6,Taxes 7,Grand Bargain or Current Direction?,pid3,What would you change to make you reconsider,birthyr,gender,race,hispanic,educ,marstat,employ,faminc_new,child18,inputzip,inputstate,ownhome,pid7,presvote20post,presvote24post,votereg,ideo5,newsint,religpew,pew_churatd,pew_bornagain,pew_religimp,pew_prayer,starttime,endtime,
2421084196,0.4266479964,Not sure,None,Not sure,Probably yes,Not sure,No,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Hate It,Good Idea,Grand Bargain,Independent,"Taking responsibility and handling things ourselves, instead of letting state and federal governments to hand any responsibility. They are leeches.",2001,Male,Two or more races,No,High school graduate,Domestic / civil partnership,Full-time,"$30,000 - $39,999",No,41015,Kentucky,Rent,Independent,Did not vote for President,Did not vote for President,No,Moderate,Some of the time,Muslim,Once or twice a month,No,Very important,Several times a day,2025-08-26 14:13:14,2025-08-26 14:21:11,Third generation
2420763796,0.5187054575,No,No one we know is at all interested in the government.,No,Definitely yes,Not sure,No,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Not Sure,Good Idea,Good Idea,Dislike It,Not Sure,Good Idea,Good Idea,Hate It,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Republican,Just stop overpaying anyone working for the government and that should get them off their lazy butts and actually do work!,1964,Female,White,Yes,Some college,Domestic / civil partnership,Permanently disabled,"$20,000 - $29,999",No,79762,Texas,Own,Not very strong Republican,Donald Trump,Donald Trump,Yes,Very conservative,Only now and then,Roman Catholic,A few times a year,Yes,Somewhat important,Several times a day,2025-08-26 13:58:03,2025-08-26 14:22:37,Third generation
2421089166,1.732871523,Yes,i would text it to them,No,Definitely yes,Yes,Not sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Grand Bargain,Republican,"booths outside of establishments, flyers around the towns, billboards",2006,Female,Hispanic,Yes,High school graduate,Never married,Unemployed,"$30,000 - $39,999",No,43605,Ohio,Other,Strong Republican,Did not vote for President,Donald Trump,Yes,Very conservative,Some of the time,Nothing in particular,Once or twice a month,Yes,Somewhat important,A few times a month,2025-08-26 14:21:16,2025-08-26 14:29:20,Third generation
2421089592,2.217772939,Not sure,Don’t know what their idea is,No,Probably yes,Not sure,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Grand Bargain,Democrat,,2005,Male,White,No,Some college,Never married,Student,"$350,000 - $499,999",No,7726,New Jersey,Own,Not very strong Democrat,Did not vote for President,Did not vote for President,Yes,Moderate,Only now and then,Jewish,Seldom,No,Not too important,Seldom,2025-08-26 14:24:38,2025-08-26 14:31:29,Third generation
2421094258,0.9828829751,Yes,N/a,No,Probably yes,Not sure,No,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Current Direction,Independent,,2002,Female,White,No,High school graduate,Never married,Unemployed,"Less than $10,000",No,50627,Iowa,Rent,Independent,Did not vote for President,Did not vote for President,Don't know,Not sure,Hardly at all,Nothing in particular,Never,No,Not at all important,Never,2025-08-26 14:27:32,2025-08-26 14:32:47,Third generation
2421089680,0.7621043145,Yes,Their reactions.,Yes,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Grand Bargain,Democrat,"Focus should be on enabling neccesities for the minorities: people of color, low income families, LGBTQ+ individuals, and allowing them the same access that all of the previously mentioned reforms would allow.",2004,Female,White,No,Some college,Never married,Full-time,"$80,000 - $99,999",No,1507,Massachusetts,Rent,Strong Democrat,Did not vote for President,Kamala Harris,Yes,Liberal,Some of the time,Agnostic,Seldom,No,Not too important,Seldom,2025-08-26 14:25:26,2025-08-26 14:34:50,Third generation
2415184670,0.7767378687,Yes,Getting rathe from the cult behind Trump. They annoy me.,No,Probably yes,Yes,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Grand Bargain,Democrat,"Sorry, I have nothing to add
I just would like to see citizens on the lower income scale find programs that help with their needs. Trump has taken so much away from our people who have special needs. It is hard to continue helping those people with the resources that he's left for them. Caregivers jobs are hard enough. Compassion is what needs to be brought back.",1961,Female,White,No,Some college,Married,Full-time,Prefer not to say,No,58102,North Dakota,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Conservative,Some of the time,Protestant,Seldom,No,Very important,A few times a week,2025-08-26 14:06:22,2025-08-26 14:35:14,Second generation
2421089094,0.8561428959,No,I just don’t think it’s something I have interest in personally.,No,Probably yes,Yes,Yes,Dislike It,Not Sure,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Not Sure,Not Sure,Good Idea,Not Sure,Good Idea,Dislike It,Good Idea,Grand Bargain,Independent,I don’t really have an idea like that in mind,2005,Female,White,No,Some college,Never married,Unemployed,"$30,000 - $39,999",No,45237,Ohio,Rent,Lean Republican,Did not vote for President,Did not vote for President,No,Not sure,Only now and then,Protestant,A few times a year,Yes,Somewhat important,A few times a week,2025-08-26 14:20:50,2025-08-26 14:36:28,Third generation
2421070294,0.429729648,Yes,None,Yes,Probably yes,Yes,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Grand Bargain,Independent,Not sure,1983,Female,White,No,High school graduate,Never married,Full-time,"$30,000 - $39,999",Yes,40272,Kentucky,Own,Independent,Did not vote for President,Kamala Harris,Yes,Moderate,Only now and then,Nothing in particular,Seldom,No,Not too important,Seldom,2025-08-26 14:00:01,2025-08-26 14:38:08,Third generation
2421098024,0.6540432672,Yes,Do it now,Yes,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Grand Bargain,Not sure,,2000,Female,Black,No,High school graduate,Never married,Unemployed,"$20,000 - $29,999",Yes,33313,Florida,Rent,Independent,Did not vote for President,Did not vote for President,Yes,Moderate,Some of the time,Something else,Don't know,No,Somewhat important,A few times a week,2025-08-26 14:29:53,2025-08-26 14:41:40,Immigrant Citizen
2420876036,2.294864897,Yes,None,Yes,Definitely yes,Yes,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Republican,It is very good,1986,Male,White,No,4-year,Married,Full-time,"$70,000 - $79,999",Yes,97850,Oregon,Own,Strong Republican,Did not vote for President,Donald Trump,Yes,Very conservative,Most of the time,Protestant,Never,Yes,Very important,A few times a week,2025-08-26 12:06:04,2025-08-28 13:59:28,Third generation
2419193902,1.339181426,Not sure,N/A/,No,Definitely no,Not sure,Not sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Grand Bargain,Republican,,1998,Female,White,No,Some college,Never married,Full-time,"$40,000 - $49,999",No,43701,Ohio,Own,Strong Republican,Did not vote for President,Did not vote for President,No,Moderate,Hardly at all,Nothing in particular,A few times a year,No,Somewhat important,Don't know,2025-08-26 12:40:49,2025-08-27 15:28:13,Third generation
2421118254,1.758647457,Yes,Bad people coming in and ruining it out of spite,Yes,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Grand Bargain,Other,"Stop spending hundreds of billions on weapons research, we have nukes, we can destroy the earth, we don't need more, we cant die twice. I propose a 5 year plan that cuts weapons R&D spending by 10% each year and redistribute it to things that benefit the nation like cross country sky trains which are non partisan and unite us more.",1993,Female,Asian,No,2-year,Never married,Other,"Less than $10,000",Yes,63126,Missouri,Own,Independent,Did not vote for President,Kamala Harris,Yes,Very liberal,Some of the time,Something else,Never,No,Not at all important,Several times a day,2025-08-26 14:58:16,2025-08-26 15:04:19,First generation
2421118450,0.7534584884,No,Nothing to share.,Not sure,Not sure,No,No,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Democrat,,1938,Male,Hispanic,Yes,Post-grad,Widowed,Retired,"$20,000 - $29,999",No,54321,Arizona,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2025-08-26 14:59:38,2025-08-26 15:04:42,First generation
2420781210,1.882406919,No,They wouldn’t want,Not sure,Not sure,Not sure,Not sure,Not Sure,Not Sure,Not Sure,Good Idea,Dislike It,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Grand Bargain,Republican,,1985,Male,White,No,Some college,Domestic / civil partnership,Full-time,"$70,000 - $79,999",Yes,54130,Wisconsin,Own,Not very strong Republican,Did not vote for President,Donald Trump,Yes,Liberal,Most of the time,Roman Catholic,A few times a year,No,Somewhat important,Seldom,2025-08-26 12:50:06,2025-08-26 20:11:24,Third generation
2419702306,2.20554886,No,"The choices are too liberal in nature. There were no valid choices for personal accountability and getting rid of government health care. Affordable healthcare includes oversight, not more funding.",Not sure,Definitely no,No,No,Not Sure,Good Idea,Critical to Me & Others,Hate It,Not Sure,Hate It,Hate It,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Not Sure,Good Idea,Hate It,Not Sure,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Not Sure,,Not Sure,Not Sure,Not Sure,Not Sure,Hate It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Dislike It,Grand Bargain,Other,,1968,Female,Other,No,Some college,Married,Full-time,"$150,000 - $199,999",No,57106,South Dakota,Own,Lean Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Protestant,A few times a year,Yes,Somewhat important,Several times a day,2025-08-26 13:58:56,2025-08-26 15:56:34,Third generation
2421166728,2.159052526,Yes,unsure of where the data will be sent,Yes,Probably yes,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Critical to Me & Others,Grand Bargain,Republican,,2004,Female,White,No,Some college,Never married,Part-time,"$100,000 - $119,999",No,46914,Indiana,Own,Strong Republican,Did not vote for President,Donald Trump,Yes,Conservative,Some of the time,Protestant,Once or twice a month,No,Very important,Once a day,2025-08-26 15:46:20,2025-08-26 15:59:48,Third generation
2421183094,0.8202817971,Not sure,Just not sure about it,Yes,Probably yes,Not sure,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,Grand Bargain,Independent,Politicians have no incentive to actually fix problems.  They just want to stay in power.,1970,Female,White,No,4-year,Never married,Full-time,"$50,000 - $59,999",No,98354,Washington,Own,Lean Republican,Donald Trump,Donald Trump,Yes,Moderate,Most of the time,Roman Catholic,A few times a year,No,Very important,Once a day,2025-08-26 15:58:01,2025-08-26 16:04:05,Second generation
2421161422,0.7021541253,Not sure,I would have to know if that person wanted it,Not sure,Probably yes,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Good Idea,Hate It,Not Sure,Critical to Me & Others,Hate It,Critical to Me & Others,Critical to Me & Others,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,,Critical to Me & Others,Good Idea,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Grand Bargain,Democrat,,1960,Male,White,No,Post-grad,Married,Full-time,"$100,000 - $119,999",Yes,98092,Washington,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Very liberal,Most of the time,Atheist,Seldom,No,Not at all important,Never,2025-08-26 15:56:57,2025-08-26 16:05:30,Third generation
2420997792,0.7021541253,Not sure,Not sure they’d be interested.,No,Probably yes,Yes,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Grand Bargain,Democrat,,1959,Male,White,No,Post-grad,Married,Retired,"$200,000 - $249,999",No,80516,Colorado,Own,Not very strong Democrat,Joe Biden,Kamala Harris,Yes,Liberal,Most of the time,Jewish,Never,No,Not at all important,Never,2025-08-26 15:58:44,2025-08-26 16:05:45,Second generation
2421182498,1.100246919,Yes,None,No,Probably yes,Yes,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Grand Bargain,Democrat,,1951,Female,White,No,High school graduate,Widowed,Other,"$80,000 - $99,999",No,97365,Oregon,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Liberal,Most of the time,Roman Catholic,Once a week,No,Very important,Once a day,2025-08-26 15:54:18,2025-08-26 16:06:55,Second generation
2420717054,0.4513188019,No,"None of the proposals go into any real detail. So far, it's just too vague.",No,Not sure,Not sure,Not sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Grand Bargain,Independent,The main money-sucking culprit is insurance.,1950,Female,White,No,4-year,Married,Retired,Prefer not to say,No,97215,Oregon,Own,Lean Democrat,Howie Hawkins,Kamala Harris,Yes,Liberal,Most of the time,Agnostic,Never,No,Not at all important,Never,2025-08-26 15:55:33,2025-08-26 16:06:57,First generation
2420822364,0.6035303178,No,THESE APPS IMPLY CREATING POLARITIES.,No,Probably yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Dislike It,Grand Bargain,Democrat,,1948,Female,White,No,4-year,Married,Retired,Prefer not to say,No,85022,Arizona,Own,Strong Democrat,Joe Biden,Kamala Harris,Yes,Liberal,Most of the time,Jewish,A few times a year,No,Very important,A few times a month,2025-08-26 15:53:24,2025-08-26 16:07:36,Second generation
2420804858,0.5974220475,Yes,Retribution from an authoritarian government.,Yes,Definitely yes,Yes,Not sure,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Critical to Me & Others,Good Idea,Critical to Me & Others,Critical to Me & Others,Good Idea,Not Sure,Critical to Me & Others,Critical to Me & Others,Good Idea,Critical to Me & Others,Critical to Me & Others,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Good Idea,Hate It,Critical to Me & Others,Not Sure,Critical to Me & Others,Critical to Me & Others,Good Idea,Not Sure,Critical to Me & Others,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Democrat,,1956,Male,White,No,4-year,Married,Retired,"$60,000 - $69,999",No,98402,Washington,Own,Not very strong Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Most of the time,Nothing in particular,Never,No,Not at all important,Never,2025-08-26 15:54:42,2025-08-26 16:09:22,Second generation
2421060656,0.7879621998,Yes,None,Yes,Probably yes,Yes,Not sure,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Not Sure,Grand Bargain,Republican,,1949,Female,White,No,2-year,Divorced,Retired,"$20,000 - $29,999",No,97426,Oregon,Own,Strong Republican,Donald Trump,Donald Trump,Yes,Conservative,Most of the time,Nothing in particular,More than once a week,Yes,Very important,Several times a day,2025-08-26 16:00:12,2025-08-26 16:09:48,Third generation
2421160730,0.6211847936,Yes,None.,Yes,Definitely yes,Yes,Yes,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Critical to Me & Others,Grand Bargain,Independent,,1971,Female,White,No,Post-grad,Married,Homemaker,"$120,000 - $149,999",No,95603,California,Own,Lean Democrat,Joe Biden,Kamala Harris,Yes,Moderate,Most of the time,Atheist,Never,No,Not at all important,Never,2025-08-26 15:56:36,2025-08-26 16:10:14,Third generation
2421159980,0.4465796205,Not sure,they would not be interested,No,Not sure,Yes,Yes,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Grand Bargain,Democrat,,1956,Female,White,No,Some college,Never married,Full-time,"$70,000 - $79,999",No,80227,Colorado,Own,Not very strong Democrat,Joe Biden,Did not vote for President,Yes,Moderate,Only now and then,Protestant,Never,No,Not too important,A few times a week,2025-08-26 16:04:33,2025-08-26 16:10:17,Third generation
2421182980,0.9894129928,Yes,none,No,Probably yes,Yes,Not sure,Critical to Me & Others,Not Sure,Not Sure,Dislike It,Dislike It,Good Idea,Dislike It,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Good Idea,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Not Sure,Good Idea,,Good Idea,Good Idea,Good Idea,Good Idea,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Dislike It,Not Sure,Grand Bargain,Independent,Even though some of those idea seem great they will lead to more chaos and spending,1954,Male,White,No,4-year,Married,Retired,"$80,000 - $99,999",No,44147,Ohio,Own,Independent,Joe Biden,Kamala Harris,Yes,Moderate,Most of the time,Protestant,A few times a year,No,Somewhat important,Several times a day,2025-08-26 15:57:22,2025-08-26 16:10:44,Third generation
